Response ID,Date submitted,Last page,Start language,Seed,VR1,VR2,VR3,VR4,VR5,VR6,VR7,VR8,VR9,VR10,VR11,VR12,VR13,VR14,VR15,VR16,VR17,VR18,VR19,VR20
43,,2,fr,919028655,,,,,,,,,,,,,,,,,,,,
44,,8,fr,119103778,,,,,,,,,,,,,,,,,,,,
45,1980-01-01 00:00:00,14,fr,110460177,1,,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1
46,,8,fr,724234636,,,,,,,,,,,,,,,,,,,,
47,,13,en,661955607,0,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
48,,0,en,1505343599,,,,,,,,,,,,,,,,,,,,
49,,2,en,680315551,,,,,,,,,,,,,,,,,,,,
50,1980-01-01 00:00:00,14,fr,1900360730,1,,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
51,,2,en,13329472,,,,,,,,,,,,,,,,,,,,
52,1980-01-01 00:00:00,14,fr,1598505692,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,,fr,1115120126,,,,,,,,,,,,,,,,,,,,
54,,,en,1545809704,,,,,,,,,,,,,,,,,,,,
55,1980-01-01 00:00:00,14,fr,25950960,0,,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1
56,,13,en,431148023,0,,0,0,1,0,1,,1,0,,0,1,0,1,1,0,0,0,0
57,,1,en,478907788,,,,,,,,,,,,,,,,,,,,
58,,2,en,47629078,,,,,,,,,,,,,,,,,,,,
59,1980-01-01 00:00:00,14,fr,1097573435,1,,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
60,1980-01-01 00:00:00,14,en,544831512,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
61,1980-01-01 00:00:00,14,en,869507510,1,,,1,1,0,,,0,0,,0,0,0,0,0,1,1,0,0
62,1980-01-01 00:00:00,14,en,678844043,1,,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
63,1980-01-01 00:00:00,14,en,1075198777,0,,0,1,1,0,0,0,1,1,,1,1,0,0,0,1,1,0,1
64,,9,en,1191944575,,,,,,,,,,,,,,,,,,,,
65,,2,fr,1789839902,,,,,,,,,,,,,,,,,,,,
66,,13,fr,1367799439,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
67,1980-01-01 00:00:00,14,en,668733142,1,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
68,,,fr,618078782,,,,,,,,,,,,,,,,,,,,
69,,2,fr,931047144,,,,,,,,,,,,,,,,,,,,
70,1980-01-01 00:00:00,14,fr,80586136,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,,0,fr,67738888,,,,,,,,,,,,,,,,,,,,
72,,2,en,69488925,,,,,,,,,,,,,,,,,,,,
73,,2,en,80748497,,,,,,,,,,,,,,,,,,,,
74,,,fr,1945715364,,,,,,,,,,,,,,,,,,,,
75,,8,fr,457474813,,,,,,,,,,,,,,,,,,,,
76,,6,fr,276942226,,,,,,,,,,,,,,,,,,,,
77,,,fr,1817146064,,,,,,,,,,,,,,,,,,,,
78,,0,fr,1242699657,,,,,,,,,,,,,,,,,,,,
79,,,en,1981761966,,,,,,,,,,,,,,,,,,,,
80,1980-01-01 00:00:00,14,fr,493591657,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1980-01-01 00:00:00,14,fr,738391926,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,,1,fr,978714667,,,,,,,,,,,,,,,,,,,,
83,,8,fr,70171455,,,,,,,,,,,,,,,,,,,,
84,,1,fr,843888430,,,,,,,,,,,,,,,,,,,,
85,,2,fr,315913297,,,,,,,,,,,,,,,,,,,,
86,1980-01-01 00:00:00,14,fr,421516238,1,,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
87,1980-01-01 00:00:00,14,fr,527589368,1,,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0
88,1980-01-01 00:00:00,14,fr,,1,,0,1,1,,1,0,1,1,0,0,1,0,1,0,0,1,1,1
89,,2,fr,630178579,,,,,,,,,,,,,,,,,,,,
90,,6,fr,670174540,,,,,,,,,,,,,,,,,,,,
91,1980-01-01 00:00:00,14,fr,979028409,1,,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
92,,11,fr,1474420198,1,,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0
93,,13,fr,1353515153,0,,0,1,0,1,0,1,1,1,1,1,,0,1,1,1,1,0,0
94,,13,fr,1846145186,0,,0,0,0,0,0,0,1,0,0,,,,,,,,,
95,1980-01-01 00:00:00,14,fr,698620663,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,,7,fr,1240249185,,,,,,,,,,,,,,,,,,,,
97,,12,fr,313607915,,,,,,,,,,,,,,,,,,,,
98,,10,fr,248764187,0,,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
99,,12,fr,1326546594,1,,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
100,,8,fr,881495990,,,,,,,,,,,,,,,,,,,,
101,,13,fr,128109757,1,,0,0,1,0,1,0,1,1,0,,,,,,,,,
102,1980-01-01 00:00:00,14,fr,1558665643,0,,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0
103,1980-01-01 00:00:00,14,fr,317356502,1,,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0
104,,2,fr,1663370765,,,,,,,,,,,,,,,,,,,,
